0;16.5
10;17.5
20;19
30;21
40;24
50;27
60;27.2
70;31
80;35
90;40
100;44.5
110;49.5
120;55
130;60
140;66
150;72
160;77
170;82.5
180;88
190;92.5
200;97.7
210;102
220;106
230;110
240;113.5
250;116
260;118.5
270;120
280;121.5
290;122.3
300;122.3
310;122.1
320;121.6
330;120.6
340;119
350;116.7
360;114.5
370;112
380;108
390;105
400;101.5
410;97
420;93
430;88.5
440;84
450;80
460;75.5
470;71.5
480;67.5
490;63
500;59.5
510;56
520;52.5
530;49.5
540;47
550;44.5
560;42.5
570;41
580;39.7
590;39
600;38.7
610;39
620;39.5
630;40.5
640;41.5
650;43.3
660;45.5
670;47.5
680;50.5
690;53
700;56.3
710;59.3
720;63
730;66
740;69.5
750;73
760;76
770;79.5
780;83
790;86
800;89
810;92
820;95
830;97
840;99
850;100.7
860;102.5
870;103.2
880;104.2
890;104.7
900;105
910;104.7
920;104.4
930;103.6
940;102.5
950;101
960;99.5
970;97.5
980;95.6
990;93.5
1000;91
1010;88.7
1020;86
1030;83.5
1040;80.5
1050;78
1060;75
1070;72.5
1080;69.5
1090;67
1100;64.7
1110;62.5
1120;60.3
1130;58.4
1140;56.7
1150;55.5
1160;54
1170;53
1180;52.5
1190;52.4
1200;51.1
1210;51.8
1220;52.7
1230;53.5
1240;54.5
1250;55.7
1260;57.4
1270;58.6
1280;60.5
1290;62.5
1300;64.5
1310;66.5
1320;68.5
1330;70.6
1340;73
1350;75
1360;77.5
1370;79.5
1380;81.5
1390;83.5
1400;85
1410;86.5
1420;88.5
1430;89.6
1440;90.7
1450;91.7
1460;92.5
1470;93
1480;93.5
1490;93.7
1500;93.6
1510;93.4
1520;92.8
1530;92.3
1540;91.5
1550;90.5
1560;89.5
1570;88
1580;86.7
1590;85.3
1600;84.2
1610;82.2
1620;80.3
1630;78.5
1640;77
1650;75.3
1660;73.5
1670;72
1680;70.5
1690;68.7
1700;67.5
1710;66.5
1720;65.2
1730;64
1740;63.4
1750;62.5
1760;61.8
1770;61.5
1780;61.4
1790;61.3
1800;61.4
1810;61.6
1820;61.9
1830;62.5
1840;63.8
1850;64
1860;65
1870;66
1880;67
1890;68.2
1900;69.5
1910;70.8
1920;72
1930;73.5
1940;74.8
1950;76
1960;77
1970;78.6
1980;80
1990;81
2000;82.3
2010;83.3
2020;84
2030;84.8
2040;85.5
2050;86
2060;86.6
2070;86.8
2080;87
2090;86.8
2100;86.6
2110;86.5
2120;86.3
2130;85.8
2140;85.4
2150;84.7
2160;84
2170;83.2
2180;82.2
2190;81.3
2200;80.3
2210;79.3
2220;78.4
2230;77.5
2240;76.4
2250;75.6
2260;74.5
2270;73.4
2280;72.4
2290;71.5
2300;70.6
2310;69.7
2320;69.3
2330;68.5
2340;68
2350;67.6
2360;67.4
2370;67.2
2380;66.9
2390;67.3
2400;67.6
2410;67.7
2420;68
2430;68.5
2440;69
2450;69.7
2460;70.3
2470;71.1
2480;71.8
2490;72.5
2500;73.4
2510;74.2
2520;74.8
2530;76
2540;76.8
2550;77.6
2560;78.5
2570;79.2
2580;79.8
2590;80.5
2600;81
2610;81.5
2620;81.9
2630;82.4
2640;82.7
2650;82.8
2660;83.1
2670;83.2
2680;83.3
2690;83.2
2700;82.9
